team,league,team_country,team_continent
Brighton & Hove Albion,Premier League,England,Europe
Lokomotiv Moscow,Russian Premier League,Russia,Europe
Southampton,Premier League,England,Europe
Hebei China Fortune FC,Chinese Super League,China,Asia
Beşiktaş JK,Süper Lig,Turkey,Europe
Fenerbahçe SK,Süper Lig,Turkey,Europe
Al Hilal,Saudi Professional League,Saudi Arabia,Asia
West Bromwich Albion,Premier League,England,Europe
Jiangsu Suning FC,Chinese Super League,China,Asia
Guangzhou R&F FC,Chinese Super League,China,Asia
Sampdoria,Serie A TIM,Italy,Europe
Orlando City SC,MLS,USA,North America
FC Groningen,Eredivisie,Netherlands,Europe
Stade de Reims,Ligue 1,France,Europe
Santos,Campeonato Brasileiro Série A,Brazil,South America
Internacional,Campeonato Brasileiro Série A,Brazil,South America
Coritiba,Campeonato Brasileiro Série A,Brazil,South America
CA Osasuna,LaLiga Santander,Spain,Europe
Sheffield United,Premier League,England,Europe
LA Galaxy,MLS,USA,North America
Al Nassr,Saudi Professional League,Saudi Arabia,Asia
SC Freiburg,Bundesliga,Germany,Europe
SC Braga,Primeira Liga,Portugal,Europe
Colombia,International,International,International
Olympiacos CFP,Super League Greece,Greece,Europe
Granada CF,LaLiga Santander,Spain,Europe
FC Schalke 04,Bundesliga,Germany,Europe
RC Strasbourg Alsace,Ligue 1,France,Europe
Toronto FC,MLS,Canada,North America
Hertha BSC,Bundesliga,Germany,Europe
AZ Alkmaar,Eredivisie,Netherlands,Europe
Seattle Sounders FC,MLS,USA,North America
Montpellier HSC,Ligue 1,France,Europe
Shanghai Greenland Shenhua FC,Chinese Super League,China,Asia
Russia,International,International,International
Hamburger SV,2. Bundesliga,Germany,Europe
Girona FC,LaLiga SmartBank,Spain,Europe
Racing Club,Argentine Primera División,Argentina,South America
Portland Timbers,MLS,USA,North America
FC Girondins de Bordeaux,Ligue 1,France,Europe
Watford,EFL Championship,England,Europe
Estudiantes de La Plata,Argentine Primera División,Argentina,South America
Club América,Liga MX,Mexico,North America
Vitória Guimarães,Primeira Liga,Portugal,Europe
SK Slavia Praha,Czech First League,Czech Republic,Europe
Trabzonspor,Süper Lig,Turkey,Europe
RCD Espanyol,LaLiga SmartBank,Spain,Europe
FC Nantes,Ligue 1,France,Europe
Angers SCO,Ligue 1,France,Europe
Cruz Azul,Liga MX,Mexico,North America
Club León,Liga MX,Mexico,North America
Spartak Moscow,Russian Premier League,Russia,Europe
Sivasspor,Süper Lig,Turkey,Europe
Elche CF,La Liga,Spain,Europe
FC Augsburg,Bundesliga,Germany,Europe
BSC Young Boys,Swiss Super League,Switzerland,Europe
Wuhan Zall,Chinese Super League,China,Asia
Monterrey,Liga MX,Mexico,North America
Club Atlético Lanús,Primera División,Argentina,South America
Royal Antwerp FC,Belgian Pro League,Belgium,Europe
San Lorenzo de Almagro,Primera División,Argentina,South America
AC Monza,Serie B,Italy,Europe
Parma,Serie B,Italy,Europe
SD Huesca,La Liga,Spain,Europe
CD Leganés,La Liga 2,Spain,Europe
Kayserispor,Süper Lig,Turkey,Europe
Tianjin TEDA FC,Chinese Super League,China,Asia
RSC Anderlecht,Belgian Pro League,Belgium,Europe
Hellas Verona,Serie A,Italy,Europe
Derby County,EFL Championship,England,Europe
Birmingham City,EFL Championship,England,Europe
Benevento,Serie B,Italy,Europe
Vélez Sarsfield,Primera División,Argentina,South America
Stade Brestois 29,Ligue 1,France,Europe
Bournemouth,EFL Championship,England,Europe
Alanyaspor,Süper Lig,Turkey,Europe
Bologna,Serie A,Italy,Europe
Amiens SC,Ligue 2,France,Europe
Club Atlas,Liga MX,Mexico,North America
1. FC Köln,Bundesliga 2,Germany,Europe
Celtic,Scottish Premiership,Scotland,Europe
Shijiazhuang Ever Bright F.C.,Chinese Super League,China,Asia
Norwich City,EFL Championship,England,Europe
